geoid,name,B12002001,"B12002001, Error",B12002002,"B12002002, Error",B12002003,"B12002003, Error",B12002004,"B12002004, Error",B12002005,"B12002005, Error",B12002006,"B12002006, Error",B12002007,"B12002007, Error",B12002008,"B12002008, Error",B12002009,"B12002009, Error",B12002010,"B12002010, Error",B12002011,"B12002011, Error",B12002012,"B12002012, Error",B12002013,"B12002013, Error",B12002014,"B12002014, Error",B12002015,"B12002015, Error",B12002016,"B12002016, Error",B12002017,"B12002017, Error",B12002018,"B12002018, Error",B12002019,"B12002019, Error",B12002020,"B12002020, Error",B12002021,"B12002021, Error",B12002022,"B12002022, Error",B12002023,"B12002023, Error",B12002024,"B12002024, Error",B12002025,"B12002025, Error",B12002026,"B12002026, Error",B12002027,"B12002027, Error",B12002028,"B12002028, Error",B12002029,"B12002029, Error",B12002030,"B12002030, Error",B12002031,"B12002031, Error",B12002032,"B12002032, Error",B12002033,"B12002033, Error",B12002034,"B12002034, Error",B12002035,"B12002035, Error",B12002036,"B12002036, Error",B12002037,"B12002037, Error",B12002038,"B12002038, Error",B12002039,"B12002039, Error",B12002040,"B12002040, Error",B12002041,"B12002041, Error",B12002042,"B12002042, Error",B12002043,"B12002043, Error",B12002044,"B12002044, Error",B12002045,"B12002045, Error",B12002046,"B12002046, Error",B12002047,"B12002047, Error",B12002048,"B12002048, Error",B12002049,"B12002049, Error",B12002050,"B12002050, Error",B12002051,"B12002051, Error",B12002052,"B12002052, Error",B12002053,"B12002053, Error",B12002054,"B12002054, Error",B12002055,"B12002055, Error",B12002056,"B12002056, Error",B12002057,"B12002057, Error",B12002058,"B12002058, Error",B12002059,"B12002059, Error",B12002060,"B12002060, Error",B12002061,"B12002061, Error",B12002062,"B12002062, Error",B12002063,"B12002063, Error",B12002064,"B12002064, Error",B12002065,"B12002065, Error",B12002066,"B12002066, Error",B12002067,"B12002067, Error",B12002068,"B12002068, Error",B12002069,"B12002069, Error",B12002070,"B12002070, Error",B12002071,"B12002071, Error",B12002072,"B12002072, Error",B12002073,"B12002073, Error",B12002074,"B12002074, Error",B12002075,"B12002075, Error",B12002076,"B12002076, Error",B12002077,"B12002077, Error",B12002078,"B12002078, Error",B12002079,"B12002079, Error",B12002080,"B12002080, Error",B12002081,"B12002081, Error",B12002082,"B12002082, Error",B12002083,"B12002083, Error",B12002084,"B12002084, Error",B12002085,"B12002085, Error",B12002086,"B12002086, Error",B12002087,"B12002087, Error",B12002088,"B12002088, Error",B12002089,"B12002089, Error",B12002090,"B12002090, Error",B12002091,"B12002091, Error",B12002092,"B12002092, Error",B12002093,"B12002093, Error",B12002094,"B12002094, Error",B12002095,"B12002095, Error",B12002096,"B12002096, Error",B12002097,"B12002097, Error",B12002098,"B12002098, Error",B12002099,"B12002099, Error",B12002100,"B12002100, Error",B12002101,"B12002101, Error",B12002102,"B12002102, Error",B12002103,"B12002103, Error",B12002104,"B12002104, Error",B12002105,"B12002105, Error",B12002106,"B12002106, Error",B12002107,"B12002107, Error",B12002108,"B12002108, Error",B12002109,"B12002109, Error",B12002110,"B12002110, Error",B12002111,"B12002111, Error",B12002112,"B12002112, Error",B12002113,"B12002113, Error",B12002114,"B12002114, Error",B12002115,"B12002115, Error",B12002116,"B12002116, Error",B12002117,"B12002117, Error",B12002118,"B12002118, Error",B12002119,"B12002119, Error",B12002120,"B12002120, Error",B12002121,"B12002121, Error",B12002122,"B12002122, Error",B12002123,"B12002123, Error",B12002124,"B12002124, Error",B12002125,"B12002125, Error",B12002126,"B12002126, Error",B12002127,"B12002127, Error",B12002128,"B12002128, Error",B12002129,"B12002129, Error",B12002130,"B12002130, Error",B12002131,"B12002131, Error",B12002132,"B12002132, Error",B12002133,"B12002133, Error",B12002134,"B12002134, Error",B12002135,"B12002135, Error",B12002136,"B12002136, Error",B12002137,"B12002137, Error",B12002138,"B12002138, Error",B12002139,"B12002139, Error",B12002140,"B12002140, Error",B12002141,"B12002141, Error",B12002142,"B12002142, Error",B12002143,"B12002143, Error",B12002144,"B12002144, Error",B12002145,"B12002145, Error",B12002146,"B12002146, Error",B12002147,"B12002147, Error",B12002148,"B12002148, Error",B12002149,"B12002149, Error",B12002150,"B12002150, Error",B12002151,"B12002151, Error",B12002152,"B12002152, Error",B12002153,"B12002153, Error",B12002154,"B12002154, Error",B12002155,"B12002155, Error",B12002156,"B12002156, Error",B12002157,"B12002157, Error",B12002158,"B12002158, Error",B12002159,"B12002159, Error",B12002160,"B12002160, Error",B12002161,"B12002161, Error",B12002162,"B12002162, Error",B12002163,"B12002163, Error",B12002164,"B12002164, Error",B12002165,"B12002165, Error",B12002166,"B12002166, Error",B12002167,"B12002167, Error",B12002168,"B12002168, Error",B12002169,"B12002169, Error",B12002170,"B12002170, Error",B12002171,"B12002171, Error",B12002172,"B12002172, Error",B12002173,"B12002173, Error",B12002174,"B12002174, Error",B12002175,"B12002175, Error",B12002176,"B12002176, Error",B12002177,"B12002177, Error",B12002178,"B12002178, Error",B12002179,"B12002179, Error",B12002180,"B12002180, Error",B12002181,"B12002181, Error",B12002182,"B12002182, Error",B12002183,"B12002183, Error",B12002184,"B12002184, Error",B12002185,"B12002185, Error",B12002186,"B12002186, Error",B12002187,"B12002187, Error"
14000US32003001609,"Census Tract 16.09, Clark, NV",3050,465,1616,277,780,238,79,54,49,62,124,55,268,138,67,62,2,4,40,57,52,48,0,13,78,114,13,20,8,12,0,13,0,13,729,163,571,146,0,13,0,13,13,23,19,31,82,91,70,52,106,59,39,40,27,42,44,40,74,69,62,43,35,29,0,13,158,92,52,53,0,13,0,13,0,13,1,2,0,13,0,13,49,52,0,13,0,13,1,2,1,2,0,13,0,13,0,13,106,66,0,13,0,13,0,13,0,13,6,12,23,33,0,13,1,2,23,40,29,47,0,13,15,23,9,16,0,13,17,23,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,16,23,0,13,1,2,90,56,0,13,0,13,0,13,0,13,17,24,0,13,0,13,0,13,0,13,14,24,23,33,32,33,4,15,0,13,1434,265,476,177,48,49,39,35,101,80,40,68,0,13,90,68,46,55,50,53,6,10,56,74,0,13,0,13,0,13,0,13,705,209,550,134,0,13,0,13,14,24,57,65,30,46,141,78,16,19,31,34,34,43,57,46,25,29,107,63,38,49,0,13,155,111,12,17,0,13,0,13,0,13,0,13,0,13,0,13,12,17,0,13,0,13,0,13,0,13,0,13,0,13,0,13,143,114,0,13,0,13,0,13,0,13,6,12,14,24,0,13,0,13,28,45,95,91,0,13,0,13,0,13,0,13,167,115,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,65,99,10,16,33,33,29,42,30,32,86,53,0,13,0,13,0,13,0,13,0,13,8,13,17,24,0,13,3,10,8,17,19,17,24,37,7,14,0,13
14000US32003001610,"Census Tract 16.10, Clark, NV",2183,437,1125,266,566,189,40,39,34,26,48,36,92,64,42,33,56,49,121,120,40,55,57,52,14,17,7,8,15,15,0,13,0,13,422,118,312,96,0,13,0,13,0,13,1,3,16,18,21,26,15,14,26,28,30,25,78,42,71,76,50,29,0,13,4,7,110,80,18,20,0,13,0,13,0,13,0,13,0,13,0,13,3,8,0,13,0,13,13,18,2,6,0,13,0,13,0,13,92,77,0,13,0,13,0,13,11,17,34,39,0,13,0,13,0,13,0,13,0,13,4,11,43,64,0,13,0,13,33,33,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,30,32,3,8,0,13,104,47,4,7,0,13,0,13,0,13,8,12,0,13,10,17,6,10,13,16,17,17,16,22,19,19,11,13,0,13,1058,214,422,141,119,64,46,41,102,68,21,19,19,21,0,13,24,26,72,48,15,13,4,6,0,13,0,13,0,13,0,13,445,195,300,97,0,13,0,13,0,13,8,10,34,26,34,27,24,27,26,27,25,23,88,84,37,28,20,16,0,13,4,6,145,117,18,25,0,13,0,13,0,13,0,13,0,13,0,13,0,13,18,25,0,13,0,13,0,13,0,13,0,13,0,13,127,114,0,13,0,13,3,5,17,20,58,98,11,21,0,13,0,13,9,14,0,13,10,13,19,32,0,13,0,13,88,43,0,13,0,13,0,13,0,13,0,13,0,13,0,13,6,8,0,13,16,24,7,8,35,27,18,21,6,9,103,45,0,13,0,13,0,13,0,13,0,13,32,33,11,17,11,17,11,14,8,12,0,13,23,22,7,9,0,13
14000US32003001611,"Census Tract 16.11, Clark, NV",3646,630,1812,400,777,290,80,57,44,70,118,68,229,109,187,192,0,13,25,34,24,27,34,34,17,20,11,14,8,12,0,13,0,13,828,189,722,179,0,13,0,13,28,32,38,43,68,54,39,41,51,44,61,45,64,38,187,142,58,51,58,33,70,34,0,13,106,66,33,32,0,13,0,13,0,13,11,20,0,13,0,13,0,13,0,13,22,26,0,13,0,13,0,13,0,13,0,13,73,50,0,13,0,13,0,13,7,11,7,12,15,24,0,13,0,13,24,36,0,13,0,13,18,19,1,3,1,2,110,91,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,30,32,0,13,14,17,47,76,19,29,97,61,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,49,52,8,13,33,26,7,11,0,13,1834,322,570,172,60,51,21,22,168,84,138,91,66,39,37,42,23,37,9,14,0,13,23,27,0,13,25,25,0,13,0,13,850,221,766,203,0,13,0,13,63,55,57,56,57,45,55,41,7,11,93,51,160,151,126,62,13,15,52,31,83,58,0,13,84,71,39,60,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,39,60,0,13,0,13,0,13,0,13,45,42,0,13,0,13,0,13,0,13,0,13,0,13,24,33,0,13,0,13,14,22,0,13,7,11,0,13,0,13,78,67,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,67,66,11,16,0,13,336,128,0,13,0,13,0,13,60,60,29,45,16,19,0,13,22,34,43,42,11,17,93,100,32,24,30,29,0,13
14000US32003001613,"Census Tract 16.13, Clark, NV",3447,512,1774,266,679,165,105,58,43,42,158,83,108,77,83,83,41,45,34,48,75,64,11,20,12,13,0,13,9,13,0,13,0,13,709,170,593,163,0,13,0,13,9,16,23,22,12,21,90,67,96,75,96,82,96,61,0,13,97,61,44,48,30,27,0,13,116,81,15,23,0,13,0,13,0,13,0,13,0,13,0,13,15,23,0,13,0,13,0,13,0,13,0,13,0,13,0,13,101,78,0,13,20,30,0,13,0,13,0,13,53,58,0,13,0,13,0,13,0,13,0,13,28,46,0,13,0,13,33,34,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,12,18,0,13,0,13,21,31,0,13,353,133,0,13,0,13,0,13,0,13,0,13,12,20,65,55,4,26,90,66,73,65,0,13,62,58,47,68,0,13,1673,406,632,241,67,63,55,45,300,216,86,78,11,18,0,13,31,30,33,32,10,16,30,34,0,13,9,14,0,13,0,13,731,211,613,217,0,13,0,13,10,16,36,28,20,24,98,64,81,75,100,71,73,51,126,172,26,30,16,18,27,25,0,13,118,85,12,20,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,12,20,0,13,0,13,0,13,106,80,0,13,0,13,0,13,0,13,8,13,85,76,0,13,0,13,0,13,0,13,0,13,13,20,0,13,0,13,68,52,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,2,8,18,29,15,15,33,41,0,13,242,109,0,13,0,13,23,34,23,38,32,42,0,13,50,55,8,12,0,13,11,17,30,34,44,43,21,30,0,13
14000US32003001614,"Census Tract 16.14, Clark, NV",1515,430,651,194,431,156,43,72,0,13,51,52,20,32,29,32,101,73,0,13,17,24,48,79,17,27,49,75,56,72,0,13,0,13,112,64,112,64,0,13,0,13,0,13,0,13,0,13,14,23,0,13,0,13,0,13,31,49,28,32,39,36,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,27,31,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,14,25,0,13,0,13,13,19,0,13,81,65,0,13,0,13,0,13,0,13,0,13,0,13,0,13,39,60,0,13,13,21,29,30,0,13,0,13,0,13,864,311,464,253,0,13,72,52,81,95,37,60,44,72,94,66,12,22,44,71,25,51,55,91,0,13,0,13,0,13,0,13,107,62,107,62,0,13,0,13,0,13,0,13,12,20,0,13,0,13,0,13,0,13,0,13,83,54,0,13,12,20,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,62,55,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,17,27,11,19,23,36,11,16,0,13,231,126,0,13,0,13,0,13,0,13,0,13,0,13,49,80,0,13,77,67,66,50,12,20,15,28,12,19,0,13
14000US32003001615,"Census Tract 16.15, Clark, NV",3662,690,1825,401,1216,373,184,183,0,13,199,148,266,179,48,51,285,310,89,100,78,83,38,33,0,13,0,13,0,13,29,44,0,13,424,172,393,172,0,13,0,13,38,57,35,59,52,59,38,66,38,61,30,37,55,88,36,37,0,13,57,58,14,24,0,13,31,36,17,28,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,17,28,0,13,0,13,0,13,0,13,14,23,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,14,23,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,185,98,0,13,0,13,0,13,0,13,0,13,0,13,23,34,36,67,0,13,23,39,49,48,54,44,0,13,0,13,1837,393,891,299,70,60,10,35,228,129,165,136,75,76,205,226,17,34,64,70,11,22,22,37,0,13,24,37,0,13,0,13,456,213,447,207,0,13,0,13,68,74,66,123,23,37,124,102,0,13,59,93,26,33,34,37,0,13,32,37,15,21,0,13,9,33,9,33,0,13,0,13,0,13,0,13,0,13,0,13,9,33,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,57,55,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,12,21,16,24,29,46,433,197,0,13,0,13,0,13,0,13,40,63,48,60,30,45,35,46,51,67,0,13,129,147,51,49,31,37,18,29
14000US32003001706,"Census Tract 17.06, Clark, NV",3145,460,1515,236,637,179,45,46,0,13,89,70,156,85,66,58,7,12,69,63,50,64,20,23,38,29,40,48,22,25,26,26,9,14,671,149,535,139,0,13,0,13,0,13,0,13,8,12,97,61,14,21,14,16,63,52,76,50,67,50,154,106,35,36,7,12,136,86,47,47,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,31,43,0,13,9,15,7,12,0,13,0,13,89,69,0,13,0,13,0,13,0,13,26,44,0,13,0,13,19,22,44,61,0,13,0,13,0,13,0,13,0,13,43,40,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,28,35,15,16,164,85,0,13,0,13,0,13,0,13,8,13,0,13,11,19,22,34,0,13,38,38,0,13,64,53,7,12,14,16,1630,304,461,161,18,29,31,28,75,60,77,78,74,62,8,12,8,14,17,26,38,46,56,45,24,22,14,15,21,33,0,13,574,155,494,141,0,13,0,13,0,13,0,13,53,46,34,39,66,46,7,12,90,50,37,38,53,38,127,113,20,32,7,11,80,44,22,17,0,13,0,13,0,13,0,13,0,13,0,13,0,13,8,12,0,13,7,11,0,13,7,11,0,13,0,13,58,41,0,13,0,13,0,13,27,35,0,13,0,13,0,13,0,13,0,13,22,33,0,13,9,14,0,13,0,13,351,164,0,13,0,13,0,13,0,13,0,13,0,13,0,13,26,41,9,15,0,13,41,63,58,44,77,57,140,109,244,118,0,13,0,13,0,13,0,13,0,13,15,16,22,35,26,42,46,57,14,16,77,53,22,21,14,15,8,19
14000US32003001707,"Census Tract 17.07, Clark, NV",1463,339,676,180,173,58,24,21,0,13,37,37,29,22,12,18,16,14,18,19,6,8,10,11,0,13,0,13,16,14,5,8,0,13,361,183,348,183,0,13,0,13,0,13,6,10,4,7,125,175,20,19,19,20,33,32,42,24,13,12,42,33,37,21,7,10,13,14,6,9,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,6,9,0,13,0,13,0,13,0,13,7,11,0,13,0,13,0,13,0,13,0,13,0,13,0,13,7,11,0,13,0,13,0,13,0,13,0,13,0,13,16,15,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,11,12,5,9,0,13,126,60,0,13,0,13,0,13,0,13,7,10,26,31,0,13,4,7,6,9,37,55,6,8,31,19,9,9,0,13,787,180,163,53,18,14,31,24,13,15,7,9,0,13,9,13,29,35,24,16,9,11,5,7,8,14,10,11,0,13,0,13,351,177,307,152,0,13,0,13,0,13,19,17,102,143,8,13,36,17,30,26,18,21,10,12,39,31,28,18,11,11,6,9,44,32,23,27,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,23,27,0,13,0,13,21,24,0,13,0,13,6,11,0,13,15,21,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,78,28,0,13,0,13,0,13,0,13,0,13,0,13,0,13,5,7,0,13,0,13,0,13,29,17,35,20,9,10,195,52,0,13,0,13,0,13,0,13,18,18,10,14,5,8,14,15,8,14,21,17,47,39,45,32,27,26,0,13
14000US32003001708,"Census Tract 17.08, Clark, NV",3070,356,1424,225,520,146,46,46,88,63,85,62,68,62,39,46,11,18,61,55,0,13,62,76,17,25,23,25,16,19,4,6,0,13,738,167,642,154,0,13,0,13,0,13,35,37,95,102,17,22,122,84,87,50,13,23,74,62,27,32,59,37,113,73,0,13,96,88,61,68,0,13,0,13,0,13,0,13,44,60,0,13,0,13,0,13,0,13,0,13,17,28,0,13,0,13,0,13,35,43,0,13,0,13,0,13,0,13,0,13,0,13,35,43,0,13,0,13,0,13,0,13,0,13,0,13,0,13,53,37,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,10,16,0,13,35,27,8,14,113,64,0,13,0,13,0,13,0,13,0,13,0,13,0,13,16,23,36,41,0,13,24,37,24,26,4,7,9,13,1646,205,562,156,43,40,57,36,48,41,137,99,89,58,33,37,68,62,32,48,45,50,0,13,10,15,0,13,0,13,0,13,632,134,611,135,0,13,0,13,23,34,15,18,110,98,17,21,72,58,28,32,72,55,56,43,67,45,87,48,64,53,0,13,21,22,10,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,10,13,0,13,0,13,11,18,0,13,0,13,11,18,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,164,79,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,54,56,12,17,76,46,22,23,288,113,0,13,0,13,0,13,0,13,0,13,22,34,15,21,0,13,6,9,54,54,88,64,94,86,8,12,1,12
14000US32003001709,"Census Tract 17.09, Clark, NV",1332,167,653,158,280,115,9,14,6,10,47,26,69,43,10,15,18,17,33,40,0,13,0,13,21,22,46,59,14,16,7,11,0,13,241,67,195,64,0,13,0,13,0,13,8,13,0,13,21,18,19,18,0,13,27,24,16,17,34,32,29,16,36,30,5,7,46,38,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,46,38,0,13,0,13,0,13,0,13,0,13,34,40,0,13,6,9,0,13,6,9,0,13,0,13,0,13,0,13,37,26,0,13,0,13,0,13,0,13,0,13,0,13,0,13,10,16,0,13,0,13,6,9,15,14,0,13,6,14,95,48,0,13,0,13,0,13,30,31,14,18,0,13,0,13,0,13,0,13,14,17,15,16,19,18,3,7,0,13,679,109,245,78,16,18,15,19,32,20,53,37,45,37,11,18,0,13,28,27,0,13,36,43,0,13,9,10,0,13,0,13,183,54,174,52,0,13,0,13,0,13,0,13,5,7,13,18,14,15,13,15,23,24,33,28,5,8,32,16,9,10,27,28,9,13,5,10,0,13,0,13,0,13,5,10,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,4,7,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,4,7,0,13,0,13,0,13,0,13,66,50,0,13,0,13,0,13,0,13,3,11,0,13,0,13,0,13,4,7,15,22,0,13,10,24,34,34,0,13,185,76,0,13,0,13,20,24,0,13,16,20,14,22,5,9,24,31,31,29,30,30,8,10,32,29,0,13,5,9
14000US32003001710,"Census Tract 17.10, Clark, NV",3747,640,1999,409,705,181,25,26,51,42,154,74,202,126,43,41,10,16,42,55,25,33,34,40,26,31,24,26,50,54,19,20,0,13,969,285,712,167,0,13,0,13,6,10,47,44,99,63,8,15,107,72,41,40,73,50,74,70,78,55,90,58,28,26,61,93,257,188,40,39,0,13,0,13,0,13,0,13,0,13,24,33,0,13,0,13,15,23,1,2,0,13,0,13,0,13,0,13,217,185,0,13,0,13,53,78,5,9,7,16,13,21,0,13,111,108,9,14,14,23,0,13,5,9,0,13,0,13,10,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,8,12,2,4,0,13,0,13,315,104,0,13,0,13,0,13,0,13,0,13,0,13,22,29,11,17,10,16,0,13,81,59,151,75,40,41,0,13,1748,304,592,200,40,39,36,37,93,110,146,93,51,60,69,62,48,41,14,22,31,27,8,12,14,21,42,54,0,13,0,13,752,151,653,140,0,13,0,13,27,29,49,46,107,69,41,40,53,43,34,33,73,58,98,61,74,60,47,44,50,54,0,13,99,57,32,37,0,13,0,13,0,13,0,13,0,13,0,13,0,13,20,31,12,19,0,13,0,13,0,13,0,13,0,13,67,60,0,13,23,35,0,13,0,13,5,10,0,13,0,13,0,13,32,39,0,13,0,13,0,13,7,10,0,13,158,79,0,13,0,13,0,13,0,13,0,13,0,13,9,13,0,13,0,13,22,33,19,29,26,24,38,47,44,56,246,87,0,13,0,13,0,13,0,13,21,32,29,44,24,25,16,20,0,13,19,22,64,58,64,51,9,14,0,13
14000US32003001711,"Census Tract 17.11, Clark, NV",3331,436,1749,313,767,204,71,56,1,9,187,142,133,96,53,40,60,51,68,58,68,56,10,16,10,15,0,13,48,52,50,42,8,14,466,144,430,142,0,13,0,13,15,21,0,13,37,58,45,49,9,18,36,43,35,43,43,42,22,31,83,62,79,52,26,24,36,28,8,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,8,13,0,13,0,13,28,31,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,19,30,9,14,0,13,0,13,0,13,178,149,0,13,0,13,0,13,0,13,0,13,0,13,0,13,10,15,0,13,0,13,0,13,8,13,83,133,77,57,338,201,0,13,0,13,0,13,0,13,0,13,8,15,0,13,35,40,151,190,26,24,0,13,54,59,64,54,0,13,1582,231,696,177,1,9,97,75,148,68,14,17,166,117,49,44,63,58,25,23,9,14,44,37,53,61,0,13,27,43,0,13,393,117,358,112,0,13,0,13,23,25,8,13,35,54,38,37,0,13,9,14,39,47,23,24,7,11,116,67,31,24,29,33,35,41,35,41,0,13,0,13,0,13,0,13,0,13,0,13,25,38,0,13,0,13,10,17,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,246,125,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,157,121,72,47,17,19,247,97,0,13,0,13,0,13,7,13,7,12,19,27,0,13,50,43,0,13,30,32,42,38,52,48,33,26,7,11
14000US32003001712,"Census Tract 17.12, Clark, NV",3645,803,1624,484,846,463,106,122,24,35,148,119,32,28,128,120,15,17,198,244,40,57,18,20,0,13,21,22,107,86,9,14,0,13,499,120,421,101,0,13,0,13,5,8,0,13,66,48,17,17,0,13,8,12,73,42,60,36,55,49,58,39,62,34,17,19,78,70,46,61,0,13,0,13,0,13,0,13,0,13,10,16,0,13,0,13,0,13,0,13,0,13,36,58,0,13,0,13,32,35,0,13,0,13,0,13,0,13,20,31,0,13,0,13,0,13,0,13,0,13,0,13,12,18,0,13,0,13,45,38,0,13,0,13,0,13,0,13,0,13,0,13,0,13,10,16,0,13,0,13,0,13,0,13,25,30,10,16,234,86,0,13,9,13,0,13,9,15,6,9,30,45,15,17,0,13,27,24,32,47,30,45,67,37,9,14,0,13,2021,397,750,193,24,24,18,18,118,72,176,124,95,82,43,46,39,41,33,53,84,103,8,12,28,44,44,38,18,19,22,36,694,296,397,90,0,13,0,13,5,9,8,12,14,24,54,57,20,20,34,26,91,53,28,23,57,52,48,34,30,23,8,12,297,270,113,148,0,13,0,13,0,13,0,13,95,146,0,13,0,13,0,13,18,27,0,13,0,13,0,13,0,13,0,13,184,142,0,13,0,13,19,31,0,13,0,13,0,13,7,12,0,13,0,13,21,33,13,15,124,130,0,13,0,13,342,152,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,68,77,31,38,38,43,132,98,73,59,235,84,0,13,0,13,0,13,0,13,0,13,0,13,22,27,8,11,15,18,41,45,39,58,67,39,27,25,16,26
14000US32003001713,"Census Tract 17.13, Clark, NV",2618,469,1186,219,292,114,50,34,74,57,70,60,27,34,0,13,35,33,19,22,0,13,0,13,9,16,0,13,8,13,0,13,0,13,696,127,568,122,0,13,0,13,7,11,39,47,62,33,39,46,64,53,49,41,50,36,45,46,53,36,112,68,33,41,15,19,128,69,68,51,0,13,0,13,0,13,0,13,0,13,0,13,0,13,15,24,0,13,0,13,0,13,53,49,0,13,0,13,60,49,0,13,0,13,14,22,0,13,14,23,0,13,0,13,0,13,0,13,28,40,4,11,0,13,0,13,0,13,16,20,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,12,18,0,13,4,8,182,160,0,13,0,13,0,13,0,13,0,13,25,40,0,13,0,13,10,15,0,13,18,23,29,27,100,158,0,13,1432,293,383,136,56,34,69,45,66,47,16,24,34,38,131,112,0,13,3,8,0,13,0,13,0,13,8,12,0,13,0,13,653,133,540,114,0,13,0,13,17,21,13,21,55,48,34,32,106,68,19,21,58,37,48,32,52,45,122,64,16,18,0,13,113,73,26,38,0,13,0,13,0,13,0,13,0,13,0,13,26,38,0,13,0,13,0,13,0,13,0,13,0,13,0,13,87,62,0,13,0,13,0,13,0,13,18,29,0,13,57,50,0,13,0,13,0,13,12,18,0,13,0,13,0,13,89,71,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,51,57,8,13,30,37,307,218,0,13,0,13,0,13,12,19,0,13,25,38,0,13,0,13,29,28,21,32,31,40,148,202,32,27,9,13
